Year,Month,Day,Time,Direction
2020,12,12,14:09:21,<Direction.EXIT: 2>
2020,12,12,14:09:41,<Direction.EXIT: 2>
2020,12,12,14:16:12,<Direction.EXIT: 2>
2020,12,12,14:16:14,<Direction.EXIT: 2>
2020,12,12,14:20:41,<Direction.EXIT: 2>
2020,12,12,14:26:02,<Direction.EXIT: 2>
2020,12,12,14:30:25,<Direction.EXIT: 2>
2020,12,12,14:40:31,<Direction.EXIT: 2>
2020,12,12,14:41:27,<Direction.EXIT: 2>
2020,12,12,14:45:16,<Direction.EXIT: 2>
2020,12,12,14:49:44,<Direction.EXIT: 2>
2020,12,12,15:07:33,<Direction.EXIT: 2>
2020,12,12,15:23:37,<Direction.EXIT: 2>
2020,12,12,15:31:17,<Direction.EXIT: 2>
2020,12,12,15:33:17,<Direction.EXIT: 2>
2020,12,12,15:33:19,<Direction.EXIT: 2>
2020,12,12,15:41:24,<Direction.EXIT: 2>
2020,12,12,15:41:27,<Direction.EXIT: 2>
2020,12,12,15:43:33,<Direction.EXIT: 2>
2020,12,12,15:52:22,<Direction.EXIT: 2>
2020,12,12,16:06:54,<Direction.EXIT: 2>
2020,12,12,16:08:43,<Direction.EXIT: 2>
2020,12,12,16:20:45,<Direction.EXIT: 2>
2020,12,12,16:38:33,<Direction.EXIT: 2>
2020,12,12,16:45:31,<Direction.EXIT: 2>
2020,12,12,16:47:36,<Direction.EXIT: 2>
2020,12,12,16:48:11,<Direction.EXIT: 2>
2020,12,12,16:56:08,<Direction.EXIT: 2>
2020,12,12,16:57:55,<Direction.EXIT: 2>
2020,12,12,16:57:57,<Direction.EXIT: 2>
2020,12,12,17:16:18,<Direction.EXIT: 2>
2020,12,12,17:16:55,<Direction.EXIT: 2>
2020,12,12,17:23:34,<Direction.EXIT: 2>
2020,12,12,17:35:43,<Direction.EXIT: 2>
2020,12,12,17:35:54,<Direction.EXIT: 2>
2020,12,12,17:36:08,<Direction.EXIT: 2>
2020,12,12,17:36:11,<Direction.EXIT: 2>
2020,12,12,17:48:22,<Direction.EXIT: 2>
2020,12,12,17:52:42,<Direction.EXIT: 2>
2020,12,12,18:02:51,<Direction.EXIT: 2>
2020,12,12,18:09:52,<Direction.EXIT: 2>
2020,12,12,18:09:55,<Direction.EXIT: 2>
2020,12,12,18:11:38,<Direction.EXIT: 2>
2020,12,12,18:11:52,<Direction.EXIT: 2>
2020,12,12,18:23:41,<Direction.EXIT: 2>
2020,12,12,18:28:19,<Direction.EXIT: 2>
2020,12,12,18:29:23,<Direction.EXIT: 2>
2020,12,12,18:33:13,<Direction.EXIT: 2>
2020,12,12,18:33:14,<Direction.EXIT: 2>
2020,12,12,18:33:15,<Direction.EXIT: 2>
2020,12,12,18:45:03,<Direction.EXIT: 2>
2020,12,12,18:59:44,<Direction.EXIT: 2>
2020,12,12,19:00:41,<Direction.EXIT: 2>
2020,12,12,19:01:49,<Direction.EXIT: 2>
2020,12,12,19:03:31,<Direction.EXIT: 2>
2020,12,12,19:18:46,<Direction.EXIT: 2>
2020,12,12,19:24:27,<Direction.EXIT: 2>
2020,12,12,19:30:53,<Direction.EXIT: 2>
2020,12,12,19:35:00,<Direction.EXIT: 2>
2020,12,12,19:37:08,<Direction.EXIT: 2>
2020,12,12,19:37:10,<Direction.EXIT: 2>
2020,12,12,19:40:44,<Direction.EXIT: 2>
2020,12,12,19:40:51,<Direction.EXIT: 2>
2020,12,12,19:42:04,<Direction.EXIT: 2>
2020,12,12,19:42:07,<Direction.EXIT: 2>
2020,12,12,19:46:21,<Direction.EXIT: 2>
2020,12,12,19:49:18,<Direction.EXIT: 2>
2020,12,12,19:49:20,<Direction.EXIT: 2>
2020,12,12,19:49:20,<Direction.EXIT: 2>
2020,12,12,19:50:28,<Direction.EXIT: 2>
2020,12,12,19:54:26,<Direction.EXIT: 2>
2020,12,12,19:54:30,<Direction.EXIT: 2>
2020,12,12,19:57:18,<Direction.EXIT: 2>
2020,12,12,19:57:18,<Direction.EXIT: 2>
2020,12,12,20:06:35,<Direction.EXIT: 2>
2020,12,12,20:06:51,<Direction.EXIT: 2>
2020,12,12,20:07:23,<Direction.EXIT: 2>
2020,12,12,20:07:54,<Direction.EXIT: 2>
2020,12,12,20:12:17,<Direction.EXIT: 2>
2020,12,12,20:12:22,<Direction.EXIT: 2>
2020,12,12,20:12:56,<Direction.EXIT: 2>
2020,12,12,20:27:05,<Direction.EXIT: 2>
2020,12,12,20:27:31,<Direction.EXIT: 2>
2020,12,12,20:27:44,<Direction.EXIT: 2>
2020,12,12,20:28:26,<Direction.EXIT: 2>
2020,12,12,20:32:13,<Direction.EXIT: 2>
2020,12,12,20:58:37,<Direction.EXIT: 2>
2020,12,12,10:47:03,<Direction.EXIT: 2>
2020,12,12,10:48:18,<Direction.EXIT: 2>
2020,12,12,10:54:26,<Direction.EXIT: 2>
2020,12,12,10:54:27,<Direction.EXIT: 2>
2020,12,12,10:55:30,<Direction.EXIT: 2>
2020,12,12,10:56:45,<Direction.EXIT: 2>
2020,12,12,10:59:02,<Direction.EXIT: 2>
2020,12,12,11:11:45,<Direction.EXIT: 2>
2020,12,12,11:11:46,<Direction.EXIT: 2>
2020,12,12,11:31:57,<Direction.EXIT: 2>
2020,12,12,11:31:57,<Direction.EXIT: 2>
2020,12,12,11:31:58,<Direction.EXIT: 2>
2020,12,12,11:36:11,<Direction.EXIT: 2>
2020,12,12,11:40:20,<Direction.EXIT: 2>
2020,12,12,11:43:35,<Direction.EXIT: 2>
2020,12,12,11:43:37,<Direction.EXIT: 2>
2020,12,12,11:44:42,<Direction.EXIT: 2>
2020,12,12,11:47:23,<Direction.EXIT: 2>
2020,12,12,11:47:46,<Direction.EXIT: 2>
2020,12,12,11:55:03,<Direction.EXIT: 2>
2020,12,12,12:00:06,<Direction.EXIT: 2>
2020,12,12,12:05:35,<Direction.EXIT: 2>
2020,12,12,12:05:41,<Direction.EXIT: 2>
2020,12,12,12:07:35,<Direction.EXIT: 2>
2020,12,12,12:10:29,<Direction.EXIT: 2>
2020,12,12,12:16:02,<Direction.EXIT: 2>
2020,12,12,12:16:02,<Direction.EXIT: 2>
2020,12,12,12:16:04,<Direction.EXIT: 2>
2020,12,12,12:17:27,<Direction.EXIT: 2>
2020,12,12,12:19:10,<Direction.EXIT: 2>
2020,12,12,12:23:07,<Direction.EXIT: 2>
2020,12,12,12:24:01,<Direction.EXIT: 2>
2020,12,12,12:24:01,<Direction.EXIT: 2>
2020,12,12,12:26:18,<Direction.EXIT: 2>
2020,12,12,12:26:19,<Direction.EXIT: 2>
2020,12,12,12:26:19,<Direction.EXIT: 2>
2020,12,12,12:26:44,<Direction.EXIT: 2>
2020,12,12,12:28:08,<Direction.EXIT: 2>
2020,12,12,12:28:08,<Direction.EXIT: 2>
2020,12,12,12:31:44,<Direction.EXIT: 2>
2020,12,12,12:33:09,<Direction.EXIT: 2>
2020,12,12,12:33:09,<Direction.EXIT: 2>
2020,12,12,12:33:11,<Direction.EXIT: 2>
2020,12,12,12:35:29,<Direction.EXIT: 2>
2020,12,12,12:36:12,<Direction.EXIT: 2>
2020,12,12,12:36:14,<Direction.EXIT: 2>
2020,12,12,12:36:57,<Direction.EXIT: 2>
2020,12,12,12:36:59,<Direction.EXIT: 2>
